"OECD (2015), Health spending (indicator). doi: 10.1787/8643de7e-en (Accessed on 03 July 2015)"
https://data.oecd.org/healthres/health-spending.htm
"Flags: .. Not available; | Break in series; e Estimated value; f Forecast value; x Not applicable; p Provisional data; s Strike; - Nil"
"Information on data for Israel: http://oe.cd/israel-disclaimer"
"Disclaimer and Terms and Conditions: http://www.oecd.org/termsandconditions/"

"Health spending, Total, % of GDP"

Location,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,"1960 Flags","1961 Flags","1962 Flags","1963 Flags","1964 Flags","1965 Flags","1966 Flags","1967 Flags","1968 Flags","1969 Flags","1970 Flags","1971 Flags","1972 Flags","1973 Flags","1974 Flags","1975 Flags","1976 Flags","1977 Flags","1978 Flags","1979 Flags","1980 Flags","1981 Flags","1982 Flags","1983 Flags","1984 Flags","1985 Flags","1986 Flags","1987 Flags","1988 Flags","1989 Flags","1990 Flags","1991 Flags","1992 Flags","1993 Flags","1994 Flags","1995 Flags","1996 Flags","1997 Flags","1998 Flags","1999 Flags","2000 Flags","2001 Flags","2002 Flags","2003 Flags","2004 Flags","2005 Flags","2006 Flags","2007 Flags","2008 Flags","2009 Flags","2010 Flags","2011 Flags","2012 Flags","2013 Flags"
Luxembourg,,,,,,,,,,,3.1139,3.5332,3.4948,3.2229,3.1723,4.3029,4.3539,4.7331,5.0027,5.0355,5.2042,5.4058,5.2656,5.1593,5.0584,5.1656,5.0475,5.5286,5.2968,5.1597,5.3541,5.1373,5.3900,5.4589,5.3188,5.5667,5.6522,5.5943,5.6675,5.8271,7.4775,7.4018,8.2667,7.6673,8.2046,7.9457,7.7495,6.7163,7.3386,8.0668,7.6356,7.2899,7.1269,,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3231,4.6564,4.9987,5.1825,5.1889,5.0557,4.5930,4.7166,4.8014,5.0088,4.9785,5.3529,5.5211,5.8874,6.0127,5.9377,5.7385,5.8365,5.9600,6.4583,6.2604,5.9014,6.1583,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,..
Netherlands,,,,,,,,,,,,,6.8642,6.5833,6.7066,7.0386,6.9092,7.0298,7.1646,7.2958,7.4212,7.5079,7.8094,7.6702,7.3731,7.3049,7.4334,7.5755,7.6270,7.9176,8.0136,8.1651,8.3562,8.4743,8.3296,8.3273,8.2115,7.9493,8.0618,8.0882,7.9579,8.2974,8.8699,9.7728,9.9683,10.8820,10.7468,10.7642,10.9909,11.8823,12.1468,12.0956,,,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,..,..
"New Zealand",,,,,,,,,,,5.1937,5.1267,5.1678,5.3844,6.0187,6.5759,6.0986,6.3878,6.8228,6.3365,5.7896,5.7155,5.8698,5.7132,5.4257,4.9871,5.0841,5.6169,6.1815,6.3284,6.7300,7.1693,7.2982,6.9919,6.9953,7.0011,6.9476,7.1633,7.5926,7.4720,7.5578,7.6596,7.9731,7.7933,7.9715,8.3411,8.7432,8.4458,9.2546,9.8354,9.9520,10.0009,,,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..,..
Norway,2.8787,3.0275,3.2456,3.4005,3.4741,3.4316,3.6315,3.6663,3.8267,4.0449,4.4002,4.6719,5.1443,5.3183,5.3646,5.8507,6.0236,6.2181,6.7837,6.1930,6.9543,6.6841,6.8029,6.9968,6.6631,6.5632,7.0414,7.5276,7.7183,7.5467,7.6381,7.9974,8.0893,7.9431,7.8503,7.8777,7.8272,8.3994,9.2520,9.3286,8.4213,8.8014,9.7911,10.0222,9.5982,9.0304,8.5640,8.7460,8.5513,9.6743,9.4224,9.2834,9.2836,9.5979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8204,6.0016,6.0601,5.8116,5.4588,5.4759,5.8764,5.6055,5.9060,5.7345,5.5211,5.8590,6.3367,6.2423,6.2039,6.2137,6.2008,6.3331,6.8863,7.2127,7.0229,6.8709,6.7578,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,..
Portugal,,,,,,,,,,,2.4346,2.5236,3.1679,3.4240,3.6141,4.9632,4.7814,4.3383,4.5124,4.3914,5.1135,5.4611,5.4234,5.1177,5.1879,5.5637,6.1518,5.9610,6.1815,5.6962,5.6901,6.2337,6.4194,6.7067,6.7371,7.5204,7.7943,7.7802,7.6948,7.9358,9.2963,9.2616,9.2948,9.7337,10.0488,10.3533,10.0326,9.9942,10.2189,10.8137,10.7970,10.2309,,,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..,..
"Slovak Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7842,5.6552,5.7538,5.4989,5.5046,5.6293,5.8185,7.2110,7.0448,7.3477,7.7553,8.0208,9.1520,8.5086,7.9571,8.1452,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,|,,,,,,|,,..
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4555,7.6387,7.7562,7.8101,7.7990,8.2642,8.5691,8.6200,8.7673,8.4652,8.4959,8.4179,7.9832,8.4656,9.3787,9.0686,9.0772,9.3672,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,e,..
Spain,1.4912,1.5711,1.7586,1.8682,2.2235,2.5202,2.6946,2.9144,2.9771,3.2580,3.5084,3.9554,4.1625,4.0536,4.3911,4.6208,5.0449,5.2877,5.2834,5.2110,5.3065,5.4578,5.5872,5.6847,5.4859,5.3693,5.3201,5.4012,5.9896,6.1740,6.5366,6.7382,7.0778,7.3960,7.2776,7.4514,7.4673,7.3358,7.3216,7.3198,7.2148,7.2416,7.2504,8.1539,8.2189,8.2883,8.3907,8.4888,8.9256,9.5975,9.6481,9.4447,9.2949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,..
Sweden,,,,,,,,,,,6.6426,6.9831,6.9863,6.8469,7.0343,7.3525,7.6437,8.4564,8.5225,8.3841,8.7312,8.8703,8.9822,8.8897,8.6829,8.3690,8.1374,8.1718,8.0759,8.1093,8.1123,7.9583,8.1179,8.4331,8.0257,7.9646,8.2003,8.0264,8.1154,8.1976,8.1796,8.8595,9.2282,9.3100,9.0880,9.0615,8.9480,8.9172,9.2284,9.9390,9.4688,9.4911,9.5788,,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
Switzerland,4.9030,4.6144,4.5129,4.4235,4.4193,4.5649,4.9859,5.2521,5.3821,5.5197,5.3378,5.5762,5.5393,5.6207,6.0035,6.8414,7.0816,7.0758,7.0868,7.1863,7.2224,7.2874,7.4365,7.8328,7.5715,7.5748,7.7627,7.9847,8.0372,8.0633,7.9977,8.6524,9.0543,9.1374,9.2183,9.3343,9.7152,9.6698,9.8465,10.0029,9.9081,10.2817,10.6066,10.9339,10.9612,10.8629,10.3877,10.2099,10.2890,11.0005,10.9130,11.0540,11.4304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,..
Turkey,,,,,,,,,,,,,,,,2.2075,1.7361,2.0363,2.2791,2.3484,2.4176,2.6363,2.1980,2.2468,2.1644,1.6322,2.0098,2.0907,2.2739,2.4969,2.7045,2.8535,2.8134,2.7600,2.6869,2.5070,2.9024,3.1336,3.5934,4.7655,4.9490,5.1602,5.3567,5.3386,5.3702,5.4488,5.8109,6.0372,6.0745,6.0795,5.6132,5.2868,5.3895,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
"United Kingdom",3.9129,3.9934,3.9910,4.0994,4.1047,4.1365,4.2520,4.4419,4.4640,4.3719,4.4671,4.5459,4.6409,4.6093,5.1993,5.4125,5.4196,5.2869,5.2627,5.2177,5.5831,5.8690,5.7202,5.9302,5.8561,5.7660,5.7749,5.8619,5.7865,5.8206,5.8456,6.2547,6.7041,6.7074,6.7661,6.6942,6.7214,6.4838,6.5550,6.8179,6.9327,7.2263,7.5441,7.7736,7.9114,8.1287,8.2879,8.3717,8.7826,9.7298,9.3739,9.2302,9.2716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
"United States",5.1267,5.2672,5.3274,5.4868,5.6646,5.6758,5.7133,6.0579,6.3064,6.6016,6.7757,6.9473,7.0792,7.0607,7.3857,7.7099,7.9518,8.1551,8.1087,8.2388,8.7460,9.0640,9.8258,9.9624,9.8722,10.0372,10.1935,10.4532,10.8682,11.2365,11.9005,12.5965,12.8885,13.1568,13.0656,13.1624,13.1360,13.0450,13.0643,13.0677,13.1366,13.7863,14.6258,15.1418,15.2092,15.2348,15.3360,15.6108,16.0842,17.0543,17.0470,17.0152,16.8995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
